200;800
200;663
200;565
200;494
200;436
200;791
200;708
184;634
342;573
327;482
309;841
299;727
297;624
287;530
276;447
211;793
392;704
380;586
364;467
345;370
338;568
319;480
316;397
212;332
390;278
368;422
346;356
324;275
308;209
292;152
280;241
159;208
290;188
275;157
249;134
227;239
203;208
194;179
180;154
70;130
128;242
119;218
116;187
109;159
103;144
98;261
93;242
55;228
106;216
98;194
88;361
85;332
83;308
79;289
79;269
53;510
102;485
100;455
94;420
93;395
90;749
86;705
84;670
66;639
126;615
121;1117
119;1063
118;1008
113;968
106;919
105;1551
79;1508
152;1460
151;1383
144;1305
143;2020
140;1950
140;1859
136;1764
119;1683
234;2501
231;2379
229;2230
226;2073
223;1922
221;2715
218;2642
198;2526
390;2389
382;2134
377;2814
369;2657
368;2470
367;2288
362;2090
330;2649
628;2530
619;2191
603;1873
587;1609
575;1850
561;1704
558;1511
444;1321
804;1143
757;1171
733;978
711;782
688;601
664;448
629;550
391;496
674;434
614;334
565;275
517;418
471;402
444;368
428;325
118;290
166;463
144;411
141;361
136;307
135;267
131;438
130;413
